narrationId,marginTopVh,marginBottomVh,minHeightVh,h2Text,paragraphText,hRef,hRefText,trigger,graphTitle,graphCaption
,40,40,50,Fetch & Render: Graph construction,"The data returned from <strong>reshapeDataFunction()</strong> is then passed to <strong>buildGraphFunction()</strong>, which builds the chart or charts for the section.",,,"{
	""containerStyle"": {
		""opacity"": 1
	},
	""snippet"": ""sectionConfigFlow"",
	""highlight"": ""13,14,15,16""
}",,
,40,40,50,Building the Chart,"In the code snippet, <strong>buildGraphFunction</strong> receives <strong>graphId</strong> and <strong>sectionConfig</strong> arguments.<br><br><strong>graphId</strong> is the id of the div to target to build the graph.<br><br><strong>sectionConfig</strong> is an object containing a variety of props, but most importantly, the <strong>data</strong> prop, which is the return value of <strong>reshapeDataFunction</strong>.",,,"{
	""containerStyle"": {
		""opacity"": 1
	},
	""snippet"": ""sectionConfigBuildGraph"",
	""highlight"": ""3""
}",,
,40,40,50,Building the Chart,"Next, we use some object destructuring (ES6 fanciness) to get data props from <strong>sectionConfig.data</strong>. Notice that we're using <strong>dataArray</strong>, which was computed in <strong>reshapeDataFunction()</strong> and returned as a property (<strong>sectionConfig.data.dataArray</strong>)",,,"{
	""containerStyle"": {
		""opacity"": 1
	},
	""snippet"": ""sectionConfigBuildGraph"",
	""highlight"": ""4,5,6,7""
}",,
,40,40,50,Building the Chart,"Finally, we build our chart component with the data.  Here we gloss over the details and just create an instance of a custom component called <strong>WealthAndHealthOfNations</strong>, which takes a css selector to target the <strong>graphId</strong> div and builds the graph using the data and properties we calculated in <strong>reshapeDataFunction()</strong>.",,,"{
	""containerStyle"": {
		""opacity"": 1
	},
	""snippet"": ""sectionConfigBuildGraph"",
	""highlight"": ""9,10,11,12,13,14""
}",,
,40,40,50,Building the Chart,"Remember to return the graph instance! The return value of this function is available as <strong>sectionConfig.graph</strong> when passed to each of the event handlers,",,,"{
	""year"": 1950,
	""yearProgress"": 0,
	""containerStyle"": {
		""opacity"": 1
	},
	""snippet"": ""sectionConfigBuildGraph"",
	""highlight"": ""16,17"",
	""svgFileName"": null
}",,
,40,40,50,The rendered chart,"At this point, the basic structure of the DOM should be rendered, along with the chart that we created.",,,"{
	""year"": 1950,
	""yearProgress"": 0,
	""containerStyle"": {
		""opacity"": 1
	},
	""snippet"": null,
	""highlight"": null,
	""svgFileName"": null
}",,
,40,40,50,Triggering narration events,Now let's look at how to trigger events in the chart when narration scrolls into view.,,,"{
	""year"": 1950,
	""yearProgress"": 0,
	""containerStyle"": {
		""opacity"": 1
	},
	""snippet"": null,
	""highlight"": null,
	""svgFileName"": ""slide2""
}",,
,40,40,50,Fetch & Render: Event handling,"Once the chart and narration are rendered, the page is ready for user interactions via the event handlers: <strong>onActivateNarrationFunction()</strong>, <strong>onScrollFunction()</strong>, and <strong>onResizeFunction()</strong>.<br><br>Each section's <strong>sectionConfig: { data, graph }</strong> object is passed to the user event functions when scroll events are triggered and narration blocks become active.",,,"{
	""containerStyle"": {
		""opacity"": 1
	},
	""snippet"": ""sectionConfigFlow"",
	""highlight"": ""17,18,19,20,21"",
	""svgFileName"": null
}",,
1,40,40,50,"The Famous ""Wealth And Health of Nations""","This data is from gapminder.org, and the chart was modified from <a href=""https://robisateam.github.io/courses/d3-course/"" target=""blank"">this excellent d3 tutorial</a>",https://www.gapminder.org/,Data from gapminder.org,"{
	""year"": 1950,
	""yearProgress"": 0,
	""snippet"": null
}",The Wealth and Health of Nations,"See Hans Rosling's excellent summary video on this chart (with updated data) <a href=""https://www.gapminder.org/answers/how-does-income-relate-to-life-expectancy/"" target=blank>here</a>."
2,40,40,80,Triggering events when narration blocks are entered,"Here we used a custom trigger ""year:2008"", which is received as the prop  <strong>state.year (= 2008)</strong> by <code>onActivateNarrationFunction() </code>",,,"{
	""year"": 2008,
	""yearProgress"": null,
	""snippet"": null
}",The Wealth and Health of Nations,
2,40,40,80,Triggering events when narration blocks are entered,"Set the trigger again to change year ""year:1950"". <strong>state.year = 1950</strong>",,,"{
	""year"": 1950,
	""yearProgress"": null,
	""snippet"": null
}",The Wealth and Health of Nations,
2,40,40,100,Rendering years as progress,"Setting a yearProgress variable to the progress through the view<br>Here we used a custom trigger ""yearProgress:$progress"", which is received as the prop  <strong>state.yearProgress = progress 0 -> 1</strong> by <i>scrollyTellerConfig.onScrollFunction()</i>",,,"{
	""yearProgress"": ""$progress"",
	""snippet"": null
}",The Wealth and Health of Nations,
7,50,50,80,The end,,https://stash.ihme.washington.edu/projects/VIZ/repos/scrolly-teller/browse,Here's a link to the scrolly-teller repo,"{
	""containerStyle"": {
		""opacity"": ""calc(1 - $progress)""
	},
	""snippet"": null
}",The Wealth and Health of Nations,
